,GEO,Cancer_type,VALUE,Percentage
0,Alberta,Breast,147.88235294117646,53.7030568436135
1,Alberta,Colon and rectum,46.57342657342657,16.9130077046412
2,Alberta,Liver,3.3974358974358974,1.233769205681409
3,Alberta,Lung and bronchus,72.51724137931035,26.334430433928986
4,Alberta,Stomach,5.0,1.8157358121349036
5,British Columbia,Breast,196.34146341463415,50.42945581757423
6,British Columbia,Colon and rectum,74.34210526315789,19.094448251293024
7,British Columbia,Liver,5.470588235294118,1.4050969311831243
8,British Columbia,Lung and bronchus,105.98039215686275,27.2206054230996
9,British Columbia,Stomach,7.204301075268817,1.8503935768500155
10,Manitoba,Breast,50.034013605442176,49.15025433007158
11,Manitoba,Colon and rectum,19.03361344537815,18.69741950021878
12,Manitoba,Liver,1.0833333333333333,1.064198232775513
13,Manitoba,Lung and bronchus,29.677419354838708,29.15322205916046
14,Manitoba,Stomach,1.9696969696969697,1.9349058777736607
15,New Brunswick,Breast,33.923611111111114,44.96500242596704
16,New Brunswick,Colon and rectum,14.863636363636363,19.70142397165661
17,New Brunswick,Liver,0.8035714285714286,1.0651163025305834
18,New Brunswick,Lung and bronchus,24.1869918699187,32.05932719089344
19,New Brunswick,Stomach,1.6666666666666667,2.2091301089523214
20,Newfoundland and Labrador,Breast,24.640287769784173,43.78380045929431
21,Newfoundland and Labrador,Colon and rectum,13.577586206896552,24.12627363591998
22,Newfoundland and Labrador,Liver,0.8771929824561403,1.5587010536155486
23,Newfoundland and Labrador,Lung and bronchus,15.775862068965518,28.032432224592736
24,Newfoundland and Labrador,Stomach,1.40625,2.4987926265774263
25,Northwest Territories,Breast,1.4285714285714286,43.71843247654984
26,Northwest Territories,Colon and rectum,0.7272727272727273,22.256656533516285
27,Northwest Territories,Liver,0.10416666666666667,3.1878023680817593
28,Northwest Territories,Lung and bronchus,0.8035714285714286,24.591618268059285
29,Northwest Territories,Stomach,0.20408163265306123,6.245490353792834
30,Nova Scotia,Breast,40.78358208955224,43.32005830905988
31,Nova Scotia,Colon and rectum,19.724770642201836,20.951524377548793
32,Nova Scotia,Liver,0.8928571428571429,0.948387108452167
33,Nova Scotia,Lung and bronchus,31.41025641025641,33.363772122983924
34,Nova Scotia,Stomach,1.3333333333333333,1.416258081955236
35,Nunavut,Breast,0.7272727272727273,27.37289593761199
36,Nunavut,Colon and rectum,0.8771929824561403,33.01555431071621
37,Nunavut,Liver,0.0,0.0
38,Nunavut,Lung and bronchus,0.9482758620689655,35.690952677274254
39,Nunavut,Stomach,0.10416666666666667,3.9205970743975507
40,Ontario,Breast,565.1988636363636,50.74164801822959
41,Ontario,Colon and rectum,211.31428571428572,18.971083979100964
42,Ontario,Liver,13.445378151260504,1.2070807100245577
43,Ontario,Lung and bronchus,292.74691358024694,26.28183070245696
44,Ontario,Stomach,31.170212765957448,2.798356590187916
45,Prince Edward Island,Breast,6.111111111111111,43.159926792477485
46,Prince Edward Island,Colon and rectum,2.6027397260273974,18.381936442126154
47,Prince Edward Island,Liver,0.39215686274509803,2.7696209706402666
48,Prince Edward Island,Lung and bronchus,4.487179487179487,31.690855337133822
49,Prince Edward Island,Stomach,0.5660377358490566,3.9976604576222714
50,Quebec,Breast,327.74590163934425,45.52708218900625
51,Quebec,Colon and rectum,141.0593220338983,19.594506950783046
52,Quebec,Liver,6.987179487179487,0.970586949191532
53,Quebec,Lung and bronchus,229.72477064220183,31.91099709123752
54,Quebec,Stomach,14.375,1.9968268197816608
55,Saskatchewan,Breast,41.3,47.87116359225947
56,Saskatchewan,Colon and rectum,16.517857142857142,19.145981633881014
57,Saskatchewan,Liver,0.8771929824561403,1.0167614713108932
58,Saskatchewan,Lung and bronchus,25.76,29.858624071104217
59,Saskatchewan,Stomach,1.8181818181818181,2.1074692314443966
60,Yukon,Breast,1.7692307692307692,46.88171894482782
61,Yukon,Colon and rectum,0.9482758620689655,25.12775790521131
62,Yukon,Liver,0.20408163265306123,5.407829159563103
63,Yukon,Lung and bronchus,0.6481481481481481,17.174864830834668
64,Yukon,Stomach,0.20408163265306123,5.407829159563103
